"Unit","dSL","dSLerr"
0,-44.5036,3.88228677800426
1,-39.9828571428571,4.37115023234634
2,-23.78375,4.24810038954388
3,-24.2614285714286,3.05074575470719
4,-30.7911111111111,4.80958084465108
5,-10.6958333333333,6.30168128820244
6,-18.945,7.00636508231384
7,-8.77142857142857,3.3726155093858
8,-30.99,2.90951599640444
9,-27.141,4.17545352160829
10,-23.6865,2.96441538347605
11,-11.3366666666667,5.70431488728781
12,-19.2711764705882,1.88580862714134
13,-22.2344444444444,4.23566773850298
14,1.80940789473684,1.20781455196031
