"Unit","Age","Age_err","T0","T0_err","PB","PB_err","dSL","dSLerr","undecompactedTotalS","undecompactedTotalS_err","TotalS","TotalS_err","TectS","TectS_err","RhoS","RhoS_err"
0,0.605597767635226,0.0231647265673039,750,250,457.7969853875,457.7969853875,-56.005,5.45543387515913,7782.5562773875,589.752036302805,7782.5562773875,589.752036302805,3172.01394527994,735.914496606677,2475.92109416218,175.323905186032
1,0.82002059929761,0.0181032880904094,613.746032999999,143.8401292,915.593970775,274.832899220702,-38.761,4.09620137894148,7473.109262775,388.90811780477,7712.37655225657,391.664563529636,3453.96784671706,515.084838561774,2464.41680458052,142.519846640062
2,1.018,0.002,698.687236,145.320347211604,722.541814033333,139.432729062642,-30.7911111111111,4.80958084465108,6658.34118414444,272.899721451196,7031.61413952976,287.087146738696,3106.35767685227,415.941735938601,2452.38418931392,137.875118417743
3,1.18,0.001,89.0019990000001,36.7570822207584,742.102106214286,120.886208835921,-18.945,7.00636508231384,5967.36812921429,220.35017878611,6445.13599722201,232.472314198394,2929.40969119486,336.055742504507,2435.55077162777,121.746074521038
4,1.215,0.011,132.774379,39.113253784658,749.118539386957,114.038822823401,-22.3036363636364,4.4916154762821,5888.74119975059,213.460959615177,6376.5275126177,225.943868720507,2917.24446935197,329.16012679616,2433.13235012525,121.611311454176
5,1.231,0.002,1071.592955,40.2002332589773,753.139834866667,115.936082255188,-8.77142857142857,3.3726155093858,5746.4559084381,210.863123000991,6247.90885991436,223.249159048818,2865.25624974951,324.550087405058,2429.39824606549,121.989563417583
6,1.574,0.001,401.825319,50.7729643851598,844.290724188235,186.359575859243,-30.99,2.90951599640444,4788.23241418824,253.244950554536,5360.89104086424,271.655812676915,2676.95620549346,359.325576527888,2393.31246299986,150.590362348934
7,1.7,0.003,258.127634,54.8398589890366,1021.87547462609,281.442961010734,-27.141,4.17545352160829,4560.14284562609,325.644482504683,5141.42421022177,340.710370889865,2722.68864049797,409.477535505572,2376.39099118056,159.52523702092
8,1.775,0.015,715.817024,38.5547630329143,1157.7251411,302.269927447941,-23.6865,2.96441538347605,4434.4103781,339.389512117205,5015.91586636223,352.375106510976,2769.23279177688,413.44319550614,2364.28204416842,161.394401193625
9,1.934,0.002,37.7338559999998,12.5979970040694,1073.33466895238,232.082940607669,-11.3366666666667,5.70431488728781,3621.85304861905,276.075904262065,4184.36049617631,292.735505530016,2418.76919125637,359.699355270517,2324.59492496402,193.635906705578
10,2,0.004,412.682578,16.8648881987662,1030.06475311905,228.195789519194,-19.2711764705882,1.88580862714134,3548.78378658964,272.472089368127,4109.23216880679,290.406495428799,2373.17231425889,358.460191080866,2322.19729515872,197.343209398166
11,2.147,0.004,1063.761807,95.9077359718923,615.567032217647,122.094470324345,-37.6058333333333,5.54327936775605,2739.93814455098,191.878941085625,3271.7594348076,225.463929636312,1828.49003338235,313.994502911304,2293.61716408794,240.444798442538
12,2.595,0.006,808.8173398,104.178564556563,567.993563741176,97.1639618205447,-22.2344444444444,4.23566773850298,1613.23148018562,148.79591036319,1993.63098327217,193.00990328982,1284.25812822203,265.248918744083,2191.17506150983,377.659624971971
13,3.032,0.006064,214.1861322,42.75831229,307.6302148425,45.3716168836146,-1.08666666666667,2.85009735283462,522.903013709167,62.4097744223074,641.36889841845,92.5301574173433,490.711100484927,122.171271956281,2058.69378856305,714.548836365175
14,3.10158508324019,0.033845260487426,0,0,326.315727634286,51.3790576191445,-4.214,2.57267317405538,330.529727634287,51.4434272681348,330.529727634286,51.4434272681348,332.428343018901,51.514404245491,0,0
